,0
VN102,1.0001288146142522
VN107,1.0000820640667811
VN106,1.000073830133843
VN108,1.0000795655746622
VN101,1.0001302229044058
VN105,1.00011858320531
VN103,1.0001167320474218
VN104,1.0001254958710768
VN205,1.0000851347937552
VN203,1.0000748913840893
VN202,1.0000626013866425
VN206,1.0000842535958343
VN209,1.0000816021147483
VN210,1.000073830133843
VN207,1.0000670896748678
VN208,1.000070258403088
VN201,1.0000715468485903
VN204,1.0000812137468296
VA305,1.0000732620725366
VA307,1.0000717706857938
VA308,1.0000772175375712
VA301,1.0000772710387573
VA306,1.000060416525335
VA302,1.0000823311559048
VA303,1.0000786637312387
VA304,1.0000733310325072
LS406,1.0000776235172089
LS407,1.0000720361896718
LS408,1.0000748913840893
LS405,1.0000741959565729
LS401,1.0000729741718344
LS403,1.000083432952767
LS402,1.0000673307725196
LS410,1.0000824205863914
LS404,1.0000701383682347
WW505,1.0000811328391095
WW502,1.0000863606776123
WW503,1.000060416525335
WW506,1.0000824753871613
WW501,1.0000789532440444
WW504,1.0000543157405342
WW507,1.0000811328391095
BR604,1.0000772610609043
BR603,1.0000690480534749
BR602,1.000078702096538
BR606,1.0000826932150373
BR607,1.000074684334214
BR605,1.0000748913840893
BR601,1.0000729741718344
PC704,1.0000644031590922
PC705,1.0000846615908314
PC703,1.0000746498810797
PC701,1.0000748913840893
PC702,1.000070258403088
PC707,1.0000776797306137
